request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15656000 in full today. The lowest projected balance is IDR 40878638.36 on 2025-10-26, keeping the IDR 24768300 minimum protected."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6670 in full today. The lowest projected balance is ZAR 22197.32 on 2026-09-28, keeping the ZAR 20500 minimum protected."
request_28,289.23,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 2024-08-15 and pay EUR 1302.40 in full; only EUR 289.23 is safe today. The lowest projected balance is EUR 1389.23 on 2024-06-13, keeping the EUR 1100 minimum protected."
request_29,3221.59,not_affordable,not_recommended,none,,none,Do not proceed with the ZAR 51524 request. Only ZAR 3221.59 is safe today and the full ZAR 51524 does not become safe as one payment within the 86-day forecast.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74 starting 2026-04-06 (payment_option_83). The lowest projected balance is USD 3205.75 on 2026-06-05, keeping the USD 900 minimum protected."
request_31,2700039.54,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 2024-10-15 and pay IDR 18164000 in full; only IDR 2700039.54 is safe today. The lowest projected balance is IDR 17217762.94 on 2024-11-13, keeping the IDR 16588900 minimum protected."
request_32,13339.36,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15 and pay ZAR 40018 in full; only ZAR 13339.36 is safe today. The lowest projected balance is ZAR 41144.10 on 2025-05-01, keeping the ZAR 35700 minimum protected."
request_33,30731.19,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15 and pay INR 118000 in full; only INR 30731.19 is safe today. The lowest projected balance is INR 119922.30 on 2026-04-02, keeping the INR 102100 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129400 in full today. The lowest projected balance is INR 410708.96 on 2024-12-08, keeping the INR 138500 minimum protected."
request_35,23153.93,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15 and pay INR 212000 in full; only INR 23153.93 is safe today. The lowest projected balance is INR 129553.93 on 2025-11-14, keeping the INR 106400 minimum protected."
request_36,588.71,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15 and pay USD 3954 in full; only USD 588.71 is safe today. The lowest projected balance is USD 2988.71 on 2026-07-09, keeping the USD 2400 minimum protected."
request_37,4367687.17,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15 and pay IDR 14649000 in full; only IDR 4367687.17 is safe today. The lowest projected balance is IDR 21423887.17 on 2024-03-12, keeping the IDR 17056200 minimum protected."
request_38,171.65,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 2025-10-15 and pay EUR 971.30 in full; only EUR 171.65 is safe today. The lowest projected balance is EUR 571.65 on 2025-08-14, keeping the EUR 400 minimum protected."
request_39,57446.05,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15 and pay INR 208600 in full; only INR 57446.05 is safe today. The lowest projected balance is INR 270846.05 on 2026-04-14, keeping the INR 213400 minimum protected."
request_40,355.74,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Wait until 2024-08-15 and pay EUR 1290.30 in full; only EUR 355.74 is safe today. The lowest projected balance is EUR 1855.74 on 2024-06-12, keeping the EUR 1500 minimum protected."
request_41,7644359.41,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 2026-01-15 and pay IDR 38760000 in full; only IDR 7644359.41 is safe today. The lowest projected balance is IDR 33010959.41 on 2025-11-14, keeping the IDR 25366600 minimum protected."
request_42,28864.80,affordable_later,wait,2026-03-15:52100,2026-03-15,none,"Wait until 2026-03-15 and pay INR 52100 in full; only INR 28864.80 is safe today. The lowest projected balance is INR 134630.68 on 2026-03-31, keeping the INR 113100 minimum protected."
request_43,8273626.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15 and pay IDR 43339000 in full; only IDR 8273626.88 is safe today. The lowest projected balance is IDR 29671626.88 on 2024-09-14, keeping the IDR 21398000 minimum protected."
request_44,38264.20,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15 and pay INR 95800 in full; only INR 38264.20 is safe today. The lowest projected balance is INR 109809.10 on 2025-05-01, keeping the INR 82900 minimum protected."
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15 and pay IDR 21983000 in full; only IDR 3361778.45 is safe today. The lowest projected balance is IDR 14511578.45 on 2026-07-13, keeping the IDR 11149800 minimum protected."
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,"Pay INR 35318.22 today and the remaining INR 14131.78 on 2024-12-15. The lowest projected balance is INR 84000 on 2024-12-13, keeping the INR 84000 minimum protected."
request_47,2731823.37,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 38114000 request. Only IDR 2731823.37 is safe today and the full IDR 38114000 does not become safe as one payment within the 86-day forecast.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45700 in full today. The lowest projected balance is INR 76883.19 on 2026-08-14, keeping the INR 71300 minimum protected."
request_49,12655596.66,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67 starting 2024-03-18 (payment_option_133). The lowest projected balance is IDR 25320949.87 on 2024-04-14, keeping the IDR 20275700 minimum protected."
request_50,42646.87,affordable_with_plan,full_payment,2025-08-06:43900,2025-10-15,reduce_to:event_4680:1928,"Reduce Household shopping to INR 1928, then pay INR 43900 in full today. The lowest projected balance is INR 107554.36 on 2025-10-14, keeping the INR 99700 minimum protected."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2191000 in full today. The lowest projected balance is IDR 14572728.64 on 2026-03-29, keeping the IDR 7811000 minimum protected."
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15 and pay INR 28870 in full; only INR 19241.76 is safe today. The lowest projected balance is INR 54946.66 on 2024-07-10, keeping the INR 41500 minimum protected."
request_53,464.04,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,reduce_to:event_4992:44.50,"Reduce Bakery and snacks to USD 44.50, then use 3 installments of USD 589.06 starting 2025-11-21 (payment_option_145). The lowest projected balance is USD 2318.58 on 2026-01-14, keeping the USD 2100 minimum protected."
